timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605995524956,12,Get EDIT Page,200,OK,Thread Group 1-2,text,true,,20109,1281,2,2,http://192.168.2.4/blog/admin/app/editor/editpost.cshtml?id=c11aaf60-ad26-4971-a7cf-7ec535d148a1,12,0,0
1605995524969,3,Get POST content XML,200,OK,Thread Group 1-2,text,true,,1049,1340,2,2,http://192.168.2.4/blog/api/posts/c11aaf60-ad26-4971-a7cf-7ec535d148a1,3,0,0
1605995587885,219,Edit POST,200,OK,Thread Group 1-2,,true,,301,1919,2,2,http://192.168.2.4/blog/api/posts/update/foo,219,0,1
1605995588104,7,Refresh post after Saveing,200,OK,Thread Group 1-2,text,true,,901,1340,2,2,http://192.168.2.4/blog/api/posts/c11aaf60-ad26-4971-a7cf-7ec535d148a1,7,0,0
1605995591969,29,Get POST,200,OK,Thread Group 1-2,text,true,,50230,1281,2,2,http://192.168.2.4/blog/post/virlorg,28,0,0
1605995591914,37,Choose Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,31260,1214,2,2,null,0,3165,0
1605995595079,37,Get posts using dates from CSV,200,OK,Thread Group 1-1,text,true,,31260,1214,2,2,http://192.168.2.4/blog/2020/10/05/default,37,0,0
1605995591998,37,Choose Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,32111,1214,2,2,null,0,6038,0
1605995598036,37,Get posts using dates from CSV,200,OK,Thread Group 1-2,text,true,,32111,1214,2,2,http://192.168.2.4/blog/2020/10/04/default,35,0,0
1605995599326,20,Get Random Number from Current Page,200,OK,Thread Group 1-1,text,true,,25693,1229,2,2,http://192.168.2.4/blog/2020/10/05/default?page=4,20,0,0
1605995604377,21,Get Random Number from Current Page,200,OK,Thread Group 1-2,text,true,,34372,1229,2,2,http://192.168.2.4/blog/2020/10/04/default?page=2,21,0,0
1605995599349,60,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,54568,1227,2,2,null,0,6822,0
1605995606161,60,Open post,200,OK,Thread Group 1-1,text,true,,54568,1227,2,2,http://192.168.2.4/blog/post/ikkddmf,59,0,0
1605995606231,3168,Edit Random Post,200,,Thread Group 1-1,,true,,21548,2621,2,2,null,0,0,0
1605995609389,6,Get EDIT Page,200,OK,Thread Group 1-1,text,true,,20109,1281,2,2,http://192.168.2.4/blog/admin/app/editor/editpost.cshtml?id=8667c335-9e16-4ed5-adfd-bcc0b726ef0f,6,0,0
1605995609396,3,Get POST content XML,200,OK,Thread Group 1-1,text,true,,1439,1340,2,2,http://192.168.2.4/blog/api/posts/8667c335-9e16-4ed5-adfd-bcc0b726ef0f,3,0,0
1605995604404,38,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,84269,1227,1,1,null,0,6944,0
1605995611332,38,Open post,200,OK,Thread Group 1-2,text,true,,84269,1227,1,1,http://192.168.2.4/blog/post/prdifeo,37,0,0
1605995611387,1932,Edit Random Post,200,,Thread Group 1-2,,true,,21108,2621,1,1,null,0,0,0
1605995613296,19,Get EDIT Page,200,OK,Thread Group 1-2,text,true,,20109,1281,1,1,http://192.168.2.4/blog/admin/app/editor/editpost.cshtml?id=aabba2fa-8c21-42b4-8a97-4fd71094daf5,4,0,0
1605995613316,3,Get POST content XML,200,OK,Thread Group 1-2,text,true,,999,1340,1,1,http://192.168.2.4/blog/api/posts/aabba2fa-8c21-42b4-8a97-4fd71094daf5,3,0,0
